,group1,group2,n1,n2,p.adj,p.adj.signif,variable
1,Southeast_Asian_Asian_Cluster,South_Asian_Asian_Cluster,20,16,6.1249E-07,**,Bachelor_more_Edu_Attainment
2,Southeast_Asian_Asian_Cluster,South_Asian_Asian_Cluster,20,16,8.16155E-05,**,white_Race
3,Southeast_Asian_Asian_Cluster,South_Asian_Asian_Cluster,20,16,9.92267E-05,**,Black_Race
4,Southeast_Asian_Asian_Cluster,East_Asian_Asian_Cluster,20,24,0.000150904,**,Black_Race
5,Southeast_Asian_Asian_Cluster,East_Asian_Asian_Cluster,20,24,0.000402779,**,Bachelor_more_Edu_Attainment
6,Southeast_Asian_Asian_Cluster,South_Asian_Asian_Cluster,20,16,0.000576254,**,$100+K_Income
7,Southeast_Asian_Asian_Cluster,East_Asian_Asian_Cluster,20,24,0.000602161,**,white_Race
8,East_Asian_Asian_Cluster,Southeast_Asian_Asian_Cluster,13,18,0.009,**,Median income in the past 12 months Total
9,East_Asian_Asian_Cluster,Southeast_Asian_Asian_Cluster,13,18,0.015,*,Median gross rent Total
10,Southeast_Asian_Asian_Cluster,East_Asian_Asian_Cluster,20,24,0.016879345,*,$100+K_Income
11,Southeast_Asian_Asian_Cluster,South_Asian_Asian_Cluster,20,16,0.018625753,*,Some_HS_or_less_Edu_Attainment
12,Southeast_Asian_Asian_Cluster,South_Asian_Asian_Cluster,20,16,0.018625753,*,Some_HS_or_less_Edu_Attainment
13,East_Asian_Asian_Cluster,Southeast_Asian_Asian_Cluster,13,18,0.024,*,Median earnings in the past 12 months Total
14,South_Asian_Asian_Cluster,Southeast_Asian_Asian_Cluster,7,18,0.024,*,Median earnings in the past 12 months Total
15,Southeast_Asian_Asian_Cluster,East_Asian_Asian_Cluster,20,24,0.030791989,*,Some_HS_or_less_Edu_Attainment
16,Southeast_Asian_Asian_Cluster,East_Asian_Asian_Cluster,20,24,0.030791989,*,Some_HS_or_less_Edu_Attainment
17,South_Asian_Asian_Cluster,Southeast_Asian_Asian_Cluster,7,18,0.031,*,Median income in the past 12 months Total
